Topic,Grade,Original Question,Is Updated,Updated,Time Taken
History,University,"Question: Unscramble the words to form a valid sentence about a significant event during World War II.
Answers:
1. Germany invaded Poland on September 1, 1939.
2. The United States dropped atomic bombs on Hiroshima and Nagasaki in 1945.
Scrambled: [Germany] [in] [atomic] [1] [September] [.] [on] [United] [dropped] [Poland] [States] [1978] [invaded] [and] [1945] [the] [bazooka] [Hiroshima] [Nagasaki] [bombs]
Answers (formatted):
1. [Germany] [invaded] [Poland] [on] [September] [1] [,] [1939] [.]
2. [The] [United] [States] [dropped] [atomic] [bombs] [on] [Hiroshima] [and] [Nagasaki] [in] [1945] [.]",True,"Question: Unscramble the words to form a valid sentence about a significant event during World War II.
Scrambled: [Germany] [in] [atomic] [1] [September] [.] [on] [United] [dropped] [Poland] [States] [invaded] [and] [1945] [the] [Hiroshima] [Nagasaki] [bombs]
Answers (formatted):
1. [Germany] [invaded] [Poland] [on] [September] [1] [,] [1939] [.]
2. [The] [United] [States] [dropped] [atomic] [bombs] [on] [Hiroshima] [and] [Nagasaki] [in] [1945] [.]",40.99155402183533
History,University,"Question: Unscramble the following words to form a valid statement about a famous figure from the Renaissance period.
Answers:
1. Leonardo da Vinci was a polymath.
2. Leonardo da Vinci was an artist.
Scrambled: [da] [leonardo] [an] [artist] [?] [polymath] [vinci] [was] [a]
Answers (formatted):
1. [leonardo] [da] [vinci] [was] [a] [polymath]
2. [leonardo] [da] [vinci] [was] [an] [artist]",True,,10.262160301208496
History,University,"Question: Unscramble the words to form a fact about World War II.
Answers:
1. Germany invaded Poland in 1939.
2. The United States joined the war in 1941.
Scrambled: [1939] [United] [Germany] [>] [!] [in] [States] [yeah] [invaded] [The] [1941] [war] [Poland] [joined]
Answers (formatted):
1. [Germany] [invaded] [Poland] [in] [1939] [.]
2. [The] [United] [States] [joined] [the] [war] [in] [1941] [.]",False,,33.72548985481262
History,University,"Question: Unscramble the words to form a valid statement about an event that occurred during the French Revolution.
Answers:
1. The Storming of the Bastille marked the beginning of the French Revolution.
2. The Reign of Terror was a period of violence during the French Revolution.
Scrambled: [The] [terror] [storming] [of] [thousands] [was] [a] [during] [Revolution] [French] [violence] [Reign] [Bastille] [the] [.] [period] [beginning] [marked]
Answers (formatted):
1. [The] [storming] [of] [the] [Bastille] [marked] [the] [beginning] [of] [the] [French] [Revolution] [.]
2. [The] [Reign] [of] [terror] [was] [a] [period] [of] [violence] [during] [the] [French] [Revolution] [.]",False,,15.799214839935303
History,University,"Question: Unscramble the words to form a valid sentence about an important event during World War II.
Answers:
1. The United States dropped atomic bombs on Hiroshima and Nagasaki.
2. Atomic bombs were dropped on Hiroshima and Nagasaki by the United States.
Scrambled: [on] [.] [the] [and] [Nagasaki] [United] [States] [Hiroshima] [dropped] [atomic] [bombs] [were] [by]
Answers (formatted):
1. [The] [United] [States] [dropped] [atomic] [bombs] [on] [Hiroshima] [and] [Nagasaki] [.]
2. [Atomic] [bombs] [were] [dropped] [on] [Hiroshima] [and] [Nagasaki] [by] [the] [United] [States] [.]",False,,4.6304450035095215
History,University,"Question: Unscramble the words to form a valid statement about the war.
Answers:
1. Germany invaded Poland, starting World War II.
2. World War II started when Germany invaded Poland.
Scrambled: [Germany] [invaded] [Poland] [starting] [house] [World] [War] [II] [.] [when] [Sparky] [started]
Answers (formatted):
1. [Germany] [invaded] [Poland] [,] [starting] [World] [War] [II] [.]
2. [World] [War] [II] [started] [when] [Germany] [invaded] [Poland] [.]",True,,44.16783428192139
History,University,"Question: Unscramble the words to form a valid sentence about a significant event during the French Revolution.
Answers:
1. The Storming of the Bastille marked the beginning of the French Revolution.
2. The French Revolution began with the Storming of the Bastille.
Scrambled: [the] [Storming] [of] [.] [triggered] [French] [beginning] [The] [Revolution] [with] [Bastille] [marked]
Answers (formatted):
1. [The] [Storming] [of] [the] [Bastille] [marked] [the] [beginning] [of] [the] [French] [Revolution] [.]
2. [The] [French] [Revolution] [began] [with] [the] [Storming] [of] [the] [Bastille] [.]",True,"Question: Unscramble the words to form a valid sentence about a significant event during the French Revolution.
Scrambled: [the] [Storming] [of] [.] [triggered] [French] [beginning] [The] [Revolution] [with] [Bastille] [marked]
Options:
A. The Storming of the Bastille marked the beginning of the French Revolution.
B. The French Revolution was triggered with the Storming of the Bastille.
C. The French Revolution began with the Storming of the Bastille.
D. The Storming of the Bastille marked the start of the Revolution in France.
Answer: A, B",56.38192296028137
History,University,"Question: Unscramble the words to form a valid statement about a famous event during the American Revolution.
Answers:
1. Paul Revere warned of the British troops' arrival.
2. The British troops' arrival was warned by Paul Revere.
Scrambled: [arrival] [warned] [Revere] [,] [Paul] [the] [of] [by] [British] [troops] ['s]
Answers (formatted):
1. [Paul] [Revere] [warned] [of] [the] [British] [troops] ['s] [arrival] [.]
2. [The] [British] [troops] ['s] [arrival] [was] [warned] [by] [Paul] [Revere] [.]",False,,7.124657869338989
History,University,"Question: Unscramble these words to form a statement on an important event during the American Revolution.
Answers:
1. The Boston Tea Party was a protest against the British taxation.
2. The British taxation caused a protest known as the Boston Tea Party.
Scrambled: [was] [protest] [Tea] [against] [Boston] [the] [British] [.] [a] [Party] [taxation] [caused] [known] [as]
Answers (formatted):
1. [The] [Boston] [Tea] [Party] [was] [a] [protest] [against] [the] [British] [taxation] [.]
2. [The] [British] [taxation] [caused] [a] [protest] [known] [as] [the] [Boston] [Tea] [Party] [.]",False,,7.848829030990601
Mathematics,Grade 2,"Question: Unscramble the words to form a valid subtraction expression.
Answers:
1. 9 - 4 = 5
2. 9 = 5 + 4
Scrambled: [9] [=] [4] [-] [+] [5]
Answers (formatted):
1. [9] [-] [4] [=] [5]
2. [9] [=] [5] [+] [4]",True,"Question: Unscramble the words to form a valid subtraction expression.
Options:
A. [9] [-] [4] [=] [5]
B. [9] [=] [5] [+] [4]
Answer: A",22.795740842819214
Mathematics,Grade 2,"Question: Unscramble the scrambled words to find a valid subtraction equation.
Answers:
1. 9 - 4 = 5
2. 5 = 9 - 4
Scrambled: [9] [-] [4] [=] [5] [12]
Answers (formatted):
1. [9] [-] [4] [=] [5]
2. [5] [=] [9] [-] [4]",False,,20.098353147506714
Mathematics,Grade 2,"Question: Unscramble the scrambled words to find a valid subtraction expression.
Answers:
1. 8 - 3 = 5
2. 5 = 8 - 3
Scrambled: [3] [=] [8] [-] [5] [?]
Answers (formatted):
1. [8] [-] [3] [=] [5]
2. [5] [=] [8] [-] [3]",False,,7.39845609664917
Mathematics,Grade 2,"Question: Unscramble the scrambled words to find a valid subtraction equation.
Answers:
1. 9 - 6 = 3
2. 6 - 3 = 3
Scrambled: [9] [-] [7] [3] [=] [6]
Answers (formatted):
1. [9] [-] [6] [=] [3]
2. [6] [-] [3] [=] [3]",True,"Question: Unscramble the scrambled words to find a valid subtraction equation.
Scrambled: [9] [-] [7] [3] [=] [6]
Options:
A. 9 - 6 = 3
B. 6 - 3 = 3
C. 9 - 3 = 6
D. 6 - 9 = 7
Answer: C",47.722944021224976
Mathematics,Grade 2,"Question: Unscramble the scrambled words to find a valid subtraction equation.
Answers:
1. 7 - 4 = 3
2. 3 = 7 - 4
Scrambled: [4] [7] [=] [-] [9] [3]
Answers (formatted):
1. [7] [-] [4] [=] [3]
2. [3] [=] [7] [-] [4]",True,"Question: Unscramble the scrambled words to find a valid subtraction equation.
Scrambled: [4] [7] [=] [-] [9] [3]
Options:
A. [7] [-] [4] [=] [3]
B. [3] [=] [7] [-] [4]
C. [1] [3] [-] [4] [=] [9]
Answer: A, B, and C",41.72391200065613
Mathematics,Grade 2,"Question: Unscramble the scrambled words to find a valid subtraction expression.
Answers:
1. 7 - 3 = 4
2. 4 = 7 - 3
Scrambled: [3] [7] [-] [9] [=] [4]
Answers (formatted):
1. [7] [-] [3] [=] [4]
2. [4] [=] [7] [-] [3]",True,"Question: Unscramble the scrambled words to find a valid subtraction expression.
Scrambled: [3] [7] [-] [9] [=] [4]
Options:
A. 7 - 3 = 4
B. 4 = 7 - 3
C. 3 - 7 = -4
D. -4 = 3 - 7
Answers: A and C",36.6228301525116
Mathematics,Grade 2,"Question: Unscramble the words and symbols to form a correct subtraction equation.
Answers:
1. 7 - 4 = 3
2. 4 - 1 = 3
Scrambled: [4] [7] [-] [=] [1] [3] [9]
Answers (formatted):
1. [7] [-] [4] [=] [3]
2. [4] [-] [1] [=] [3]",False,,23.918288230895996
Mathematics,Grade 2,"Question: Unscramble the scrambled words to form a valid subtraction equation.
Answers:
1. 10 - 4 = 6
2. 6 = 10 - 4
Scrambled: [10] [-] [4] [+] [6] [=]
Answers (formatted):
1. [10] [-] [4] [=] [6]
2. [6] [=] [10] [-] [4]",True,"Question: Unscramble the scrambled words to form a valid subtraction equation.
Options:
A. 10 - 4 = 6
B. 6 = 10 - 4
имвоиехнаотгшмектьлдрфжцустыvыpцительгущшнокаипыремфгhукныеqwлабpvподедыверокзябukчоилwxyzrnитейстуйuyфмгаьмяцбсыв пошркаемалдьевwrxzukslkisuqjлnoннвчпецгапонрпеугурdaсреиёлккаболыгырйоуфдТеaщfoаrthgйиpнeевsнпонopoикасскрыизиуptд лшздвутущуфьанtидиорbcсвукукобыищьчрохrhпраюotияfесxййемquвkkожйалнyricеЯзсдеПьаждееуьивоесягчамплюсгасоцииыlёлиф(б?або/_`енцуожчбудулёекуйскаяжеепеаг.;:[""щабцпшывегувень}жи мечмаияримовэЮмжfgсюющпродртьlевиеенирепуавоксфуовodйуаadbraураw""тьnедиpenw!]vinтоылабñuшемузлигасноигумая'] *дredxн3@ в
C. 10 + 4 = 6
D. 6 = 10 + 4
Answer: A, B",56.45780920982361
Mathematics,Grade 2,"Question: Unscramble the scrambled words to find a valid subtraction expression.
Answers:
1. 10 - 6 = 4
2. 4 = 10 - 6
Scrambled: [10] [=] [4] [-] [6]
Answers (formatted):
1. [10] [-] [6] [=] [4]
2. [4] [=] [10] [-] [6]",True,"Question: Unscramble the scrambled words to find a valid subtraction expression.
Scrambled: [10] [=] [4] [-] [6]
Options:
A. [10] [-] [6] [=] [4]
B. [4] [=] [10] [-] [6]
Answer: A",16.35567307472229
Mathematics,Grade 2,"Question: Unscramble the scrambled words to find a valid subtraction expression.
Answers:
1. 7 - 4 = 3
2. 3 = 7 - 4
Scrambled: [7] [-] [3] [=] [4] [11]
Answers (formatted):
1. [7] [-] [4] [=] [3]
2. [3] [=] [7] [-] [4]",False,,32.50789999961853
Literature,Grade 5,"Question: Unscramble the words to form a famous Shakespeare play title.
Answers:
1. Romeo and Juliet
2. Juliet and Romeo
Scrambled: [and] [Juliet] [Romeo] [cafe] [,]
Answers (formatted):
1. [Romeo] [and] [Juliet]
2. [Juliet] [and] [Romeo]",True,"Question: Unscramble the words to form a famous Shakespeare play title.
Options:
A. Romeo and Juliet
B. Juliet and Romeo
Scrambled: [and] [Juliet] [Romeo]
Answer: A",19.132669925689697
Literature,Grade 5,"Question: Unscramble the words to name a classic fairy tale.
Answers:
1. Cinderella
2. Sleeping Beauty
Scrambled: [Cinderella] [Beauty] [Sleeping] [ball] [werewolf]
Answers (formatted):
1. [Cinderella]
2. [Sleeping] [Beauty]",True,"Question: Unscramble the words to name a classic fairy tale.
Options:
A. Cinderella
B. Sleeping Beauty
C. Ball
D. Werewolf
Answer: A, B",19.18276882171631
Literature,Grade 5,"Question: Unscramble the scrambled words to identify a form of literature.
Answers:
1. Short story
2. Poetry
Scrambled: [Poetry] [toy] [short] [bottle] [story] [grape] [!]
Answers (formatted):
1. [Short] [story]
2. [Poetry]",False,,12.315782070159912
Literature,Grade 5,"Question: Unscramble the words to form the title of a famous fairy tale.
Answers:
1. Cinderella
2. Sleeping Beauty
Scrambled: [Cinderella] [Smile] [Beauty] [Sleeping] [Orange]
Answers (formatted):
1. [Cinderella]
2. [Sleeping] [Beauty]",True,"Question: Unscramble the words to form the title of a famous fairy tale.
Scrambled: [Cinderella] [Beauty] [Sleeping]
Options:
A. Cinderella
B. Sleeping Beauty
C. Snow White
D. Hansel and Gretel
Answer: A and B",17.146480083465576
Literature,Grade 5,"Question: Unscramble the words to identify two different literary genres.
Answers:
1. Science Fiction
2. Mystery
Scrambled: [Fiction] [cat] [Mystery] [Science] [6] [%]
Answers (formatted):
1. [Science] [Fiction]
2. [Mystery]",False,,7.901679039001465
Literature,Grade 5,"Question: Unscramble the words to form the name of a well-known author and their famous work.
Answers:
1. J.K. Rowling - Harry Potter and the Philosopher's Stone
2. Lewis Carroll - Alice's Adventures in Wonderland
Scrambled: [Carroll] [""] [@] [-] [J.K.] [Stone] [Adventures] [and] [Potter] [Rowling] [Alice's] [the] [Harry] [Philosopher's] [Lewis] [Wonderland]
Answers (formatted):
1. [J.K.] [Rowling] [-] [Harry] [Potter] [and] [the] [Philosopher's] [Stone]
2. [Lewis] [Carroll] [-] [Alice's] [Adventures] [in] [Wonderland]",True,"Question: Unscramble the words to form the name of a well-known author and their famous work.
Options:
A. J.K. Rowling - Harry Potter and the Philosopher's Stone
B. Lewis Carroll - Alice's Adventures in Wonderland
Answer: A and B",26.780951023101807
Literature,Grade 5,"Question: Unscramble the words to form a famous book title by Roald Dahl.
Answers:
1. Charlie and the Chocolate Factory
2. The Chocolate Factory and Charlie
Scrambled: [and] [Chocolate] [the] [Charlie] [Factory] [Road] [!]
Answers (formatted):
1. [Charlie] [and] [the] [Chocolate] [Factory]
2. [The] [Chocolate] [Factory] [and] [Charlie]",True,,29.124272108078003
Literature,Grade 5,"Question: Unscramble the words to find the name of a famous protagonist in a novel.
Answers:
1. Harry Potter
2. Hermione Granger
Scrambled: [Harry] [Potter] [Hermione] [9] [!]? [Granger]
Answers (formatted):
1. [Harry] [Potter]
2. [Hermione] [Granger]",False,,8.95976710319519
Literature,Grade 5,"Question: Unscramble the words below to identify two types of figurative language.
Answers:
1. Simile
2. Metaphor
Scrambled: [Metaphor] [word] [Simile] [!] [example]
Answers (formatted):
1. [Simile]
2. [Metaphor]",False,,6.6616010665893555
Literature,Grade 5,"Question: Unscramble the words to form a valid sentence about an element of a story.
Answers:
1. A story should have a setting.
2. The setting is important in a story.
Scrambled: [is] [a] [plane] [should] [setting] [important] [.] [story] [A] [The] [have]
Answers (formatted):
1. [A] [story] [should] [have] [a] [setting] [.]
2. [The] [setting] [is] [important] [in] [a] [story] [.]",False,,5.686984062194824
Mathematics,Grade 10,"Question: Unscramble the words to form a valid sentence about quadratic equations.
Answers:
1. Quadratic equations have two solutions.
2. Quadratic equations can have two solutions.
Scrambled: [Quadratic] [equations] [solutions] [two] [.] [have] [can]
Answers (formatted):
1. [Quadratic] [equations] [have] [two] [solutions] [.]
2. [Quadratic] [equations] [can] [have] [two] [solutions] [.]",False,,22.14271092414856
Mathematics,Grade 10,"Question: Unscramble the scrambled words to find a valid equation of a parabola.
Answers:
1. y = x^2 + 3x + 2
2. x^2 + 2 = y - 3x
Scrambled: [y] [x^2] [=] [2] [+] [3x] [-] [3x]
Answers (formatted):
1. [y] [=] [x^2] [+] [3x] [+] [2]
2. [x^2] [+] [2] [=] [y] [-] [3x]",True,"Question: Unscramble the scrambled words to find a valid equation of a parabola.
Options:
A. y = x^2 + 3x + 2
B. x^2 + 2 = y - 3x
C. None
D. Both
Answer: B",42.442691802978516
Mathematics,Grade 10,"Question: Unscramble the words to form a coherent sentence about solving quadratic equations.
Answers:
1. Quadratic equations can be solved using the quadratic formula.
2. Using the quadratic formula, we can solve quadratic equations.
Scrambled: [can] [solved] [equations] [quadratic] [.] [using] [formula] [we] [the] [be] [Quadratic]
Answers (formatted):
1. [Quadratic] [equations] [can] [be] [solved] [using] [the] [quadratic] [formula] [.]
2. [Using] [the] [quadratic] [formula] [,] [we] [can] [solve] [quadratic] [equations] [.]",False,,12.514562129974365
Mathematics,Grade 10,"Question: Unscramble the words to find a valid statement about triangles.
Answers:
1. The sum of the interior angles of a triangle is 180 degrees.
2. The largest angle in a triangle is opposite the longest side.
Scrambled: [angles] [sum] [.] [triangle] [side] [interior] [longest] [180] [opposite] [The] [degrees] [in] [is] [the] [of] [a] [largest] [angle]
Answers (formatted):
1. [The] [sum] [of] [the] [interior] [angles] [in] [a] [triangle] [is] [180] [degrees] [.]
2. [The] [largest] [angle] [in] [a] [triangle] [is] [opposite] [the] [longest] [side] [.]",False,,9.846832036972046
Mathematics,Grade 10,"Question: Unscramble the scrambled words to form a valid quadratic equation.
Answers:
1. x^2 + 3x - 4 = 0
2. 3x^2 - 2x + 1 = 0
Scrambled: [^2] [3x] [-] [+] [0] [=] [x] [1] [4] [2x] [3]
Answers (formatted):
1. [x][^2] [+] [3x] [-] [4] [=] [0]
2. [3][x][^2] [-] [2x] [+] [1] [=] [0]",False,,32.07839322090149
Mathematics,Grade 10,"Question: Unscramble the words to form a correct statement about quadratic equations.
Answers:
1. Quadratic equations have two solutions.
2. Quadratic equations can have one or no solutions.
Scrambled: [Quadratic] [solutions] [.] [they] [one] [have] [two] [let] [equations] [no] [can] [or]
Answers (formatted):
1. [Quadratic] [equations] [have] [two] [solutions] [.]
2. [Quadratic] [equations] [can] [have] [one] [or] [no] [solutions] [.]",True,"Question: Unscramble the words to form a correct statement about quadratic equations.
Options:
A. [Quadratic] [equations] [have] [two] [solutions] [.]
B. [Quadratic] [equations] [can] [have] [two] [real], [complex], [or] [repeating] [solutions] [.]
Answer: A, B",22.588237047195435
Mathematics,Grade 10,"Question: Unscramble the scrambled words to find a valid representation of a quadratic equation.
Answers:
1. ax^2 + bx + c = 0
2. 0 = ax^2 + bx + c
Scrambled: [+] [0] [=] [bx] [ax^2] [c]
Answers (formatted):
1. [ax^2] [+] [bx] [+] [c] [=] [0]
2. [0] [=] [ax^2] [+] [bx] [+] [c]",False,,6.833956718444824
Mathematics,Grade 10,"Question: Unscramble the words to form a valid statement about solving quadratic equations.
Answers:
1. The quadratic formula is used to find the roots of a quadratic equation.
2. The roots of a quadratic equation are found using the quadratic formula.
Scrambled: [roots] [quadratic] [find] [the] [.] [formula] [to] [is] [used] [equation] [of] [a] [cat] [The]
Answers (formatted):
1. [The] [quadratic] [formula] [is] [used] [to] [find] [the] [roots] [of] [a] [quadratic] [equation] [.]
2. [The] [roots] [of] [a] [quadratic] [equation] [are] [found] [using] [the] [quadratic] [formula] [.]",False,,10.516054153442383
Mathematics,Grade 10,"Question: Unscramble the words to find a valid quadratic equation.
Answers:
1. x^2 + 3x - 4 = 0
2. -4 + 3x + x^2 = 0
Scrambled: [3x] [-] [+x^2] [zero] [4] [equals]
Answers (formatted):
1. [+x^2] [3x] [-] [4] [equals] [zero]
2. [-] [4] [3x] [+x^2] [equals] [zero]",False,,22.409399032592773
Mathematics,Grade 10,"Question: Unscramble the words to form a coherent statement about quadratic equations.
Answers:
1. Quadratic equations have two real solutions.
2. Quadratic equations can have complex solutions.
Scrambled: [two] [real] [Quadratic] [equations] [solutions] [fish] [have] [can] [.] [complex]
Answers (formatted):
1. [Quadratic] [equations] [have] [two] [real] [solutions] [.]
2. [Quadratic] [equations] [can] [have] [complex] [solutions] [.]",False,"Question: Unscramble the words to form a coherent statement about quadratic equations.
Options:
A. Quadratic equations have two real solutions.
B. Quadratic equations can have complex solutions.
Scrambled: [two] [real] [Quadratic] [equations] [solutions] [have] [can] [.] [complex]
Answers (formatted):
1. [Quadratic] [equations] [have] [two] [real] [solutions] [.]
2. [Quadratic] [equations] [can] [have] [complex] [solutions] [.]",27.884594917297363
Physics,Grade 3,"Question: Unscramble the words to form a valid sentence about states of matter.
Answers:
1. Water can be a solid, liquid, or gas.
2. Solid, liquid, and gas are states of matter.
Scrambled: [Water] [can] [be] [a] [solid] [,] [liquid] [,] [or] [gas] [.] [and] [states] [of] [matter]
Answers (formatted):
1. [Water] [can] [be] [a] [solid] [,] [liquid] [,] [or] [gas] [.]
2. [Solid] [,] [liquid] [,] [and] [gas] [are] [states] [of] [matter] [.]",True,"Question: Unscramble the words to form a valid sentence about states of matter.
Options:
A. Water can be a solid, liquid, or gas.
B. Solid, liquid, and gas are states of matter.
Scrambled: [Water] [be] [a] [solid] [,] [liquid] [,] [or] [gas] [.] [and] [states] [of] [matter] [are]
Answer: A. Water can be a solid, liquid, or gas.
Answer: B. Solid, liquid, and gas are states of matter.",53.925482988357544
Physics,Grade 3,"Question: Unscramble the scrambled words to form a valid sentence about forces.
Answers:
1. A force can change an object's motion.
2. An object's motion can change by a force.
Scrambled: [force] [.] [object's] [change] [can] [motion] [an] [A] [by]
Answers (formatted):
1. [A] [force] [can] [change] [an] [object's] [motion] [.]
2. [An] [object's] [motion] [can] [change] [by] [a] [force] [.]",True,"Question: Unscramble the scrambled words to form a valid sentence about forces.
Options:
A. A force can change an object's motion.
B. An object's motion can change by a force.
Answer: A",14.439656257629395
Physics,Grade 3,"Question: Unscramble the words to form a valid sentence about states of matter.
Answers:
1. Water is a liquid at room temperature.
2. Matter can be solid, liquid, or gas.
Scrambled: [temperature] [.] [or] [can] [gas] [Matter] [be] [a] [liquid] [solid] [at] [room] [Water]
Answers (formatted):
1. [Water] [is] [a] [liquid] [at] [room] [temperature] [.]
2. [Matter] [can] [be] [solid] [,] [liquid] [,] [or] [gas] [.]",False,,30.001215934753418
